ds,yhat
2010-02-05,18918621.303064264
2010-02-12,19319050.39136334
2010-02-19,18755675.87777996
2010-02-26,18179618.967776064
2010-03-05,17985716.553163804
2010-03-12,17934873.143892862
2010-03-19,17799272.240753233
2010-03-26,17723718.55688835
2010-04-02,17904214.627907038
2010-04-09,18170900.3852518
2010-04-16,18128208.498180497
2010-04-23,17676819.135761954
2010-04-30,17196796.08693193
2010-05-07,17123427.27929996
2010-05-14,17454134.567289885
2010-05-21,17805525.45932091
2010-05-28,17911970.326843858
2010-06-04,17902097.351251714
2010-06-11,18023783.017494615
2010-06-18,18234031.393059563
2010-06-25,18227445.663769666
2010-07-02,17860126.39072629
2010-07-09,17384405.08684987
2010-07-16,17170047.057042394
2010-07-23,17282923.229448378
2010-07-30,17474044.87693668
2010-08-06,17559147.01353459
2010-08-13,17634511.31406337
2010-08-20,17823101.255021676
2010-08-27,17940976.115972742
2010-09-03,17635704.89545094
2010-09-10,16897546.950840924
2010-09-17,16245061.748766806
2010-09-24,16218577.07026806
2010-10-01,16733305.74424408
2010-10-08,17138017.78572899
2010-10-15,17000649.081801627
2010-10-22,16682087.344215078
2010-10-29,16937521.355908923
2010-11-05,17986583.404325902
2010-11-12,19227776.139794406
2010-11-19,20023143.381215103
2010-11-26,20587243.09198387
2010-12-03,21750829.526277564
2010-12-10,23710326.25386483
2010-12-17,25261038.490059707
2010-12-24,24666573.846870318
2010-12-31,21467198.76567576
2011-01-07,17292155.424767002
2011-01-14,14652025.820968721
2011-01-21,14822396.488285331
2011-01-28,16908132.399408832
2011-02-04,18911648.03777685
2011-02-11,19566427.856759228
2011-02-18,19102438.744963944
2011-02-25,18476089.326905277
2011-03-04,18220310.153106328
2011-03-11,18169919.20162233
2011-03-18,18048712.663124233
2011-03-25,17942304.253564194
2011-04-01,18077069.165963825
2011-04-08,18357541.712557226
2011-04-15,18392237.452341877
2011-04-22,17997183.59630915
2011-04-29,17484172.964117825
2011-05-06,17323054.08897903
2011-05-13,17604860.54898544
2011-05-20,17982667.369071756
2011-05-27,18134522.974727258
2011-06-03,18125543.065192137
2011-06-10,18216874.49793825
2011-06-17,18432150.658298943
2011-06-24,18486753.062633403
2011-07-01,18177229.90663988
2011-07-08,17692013.115312845
2011-07-15,17415381.099457122
2011-07-22,17484365.089428682
2011-07-29,17683702.41333023
2011-08-05,17789259.864409935
2011-08-12,17853733.71943111
2011-08-19,18026433.369511083
2011-08-26,18185473.47360044
2011-09-02,17974071.679087326
2011-09-09,17288729.45863353
2011-09-16,16573024.831624916
2011-09-23,16419496.199178454
2011-09-30,16878310.004547976
2011-10-07,17353920.165385336
2011-10-14,17311917.002531886
2011-10-21,16970801.13398388
2011-10-28,17083196.493660837
2011-11-04,18017632.677515633
2011-11-11,19286763.13056653
2011-11-18,20177238.897189178
2011-11-25,20727145.757199842
2011-12-02,21734678.95319317
2011-12-09,23602694.69006595
2011-12-16,25362917.935285624
2011-12-23,25244864.91132311
2011-12-30,22447958.64660536
2012-01-06,18261362.97117412
2012-01-13,15195388.720137874
2012-01-20,14872025.66016372
2012-01-27,16757020.29267278
2012-02-03,18910330.061061602
2012-02-10,19830455.099113405
2012-02-17,19501006.484887462
2012-02-24,18843185.089513414
2012-03-02,18519471.78729157
2012-03-09,18460418.61101125
2012-03-16,18358264.486793112
2012-03-23,18230878.388175752
2012-03-30,18317864.00087396
2012-04-06,18599108.19724024
2012-04-13,18705476.52826623
2012-04-20,18378811.344518293
2012-04-27,17849852.895638734
2012-05-04,17604420.603632465
2012-05-11,17825166.45065461
2012-05-18,18218367.028653894
2012-05-25,18418667.459755328
2012-06-01,18418925.828704726
2012-06-08,18479474.032736417
2012-06-15,18688062.164683912
2012-06-22,18794976.98828705
2012-06-29,18548476.125857066
2012-07-06,18066013.033784777
2012-07-13,17730393.33935649
2012-07-20,17746111.919873185
2012-07-27,17944199.344215162
2012-08-03,18071075.70629066
2012-08-10,18129228.580802936
2012-08-17,18280684.840283792
2012-08-24,18466576.032221142
2012-08-31,18343361.988769434
2012-09-07,17724766.318481367
2012-09-14,16965495.084336467
2012-09-21,16685528.70277461
2012-09-28,17065905.518594243
2012-10-05,17591839.85307287
2012-10-12,17651450.18438978
2012-10-19,17313284.867523868
2012-10-26,17294549.3785061
2012-10-27,17357200.775045577
2012-10-28,17438406.824067283
2012-10-29,17537819.818045445
2012-10-30,17654646.53021659
2012-10-31,17787669.900984462
2012-11-01,17935283.50391976
2012-11-02,18095537.929505985
2012-11-03,18266197.862963498
2012-11-04,18444808.301082306
2012-11-05,18628768.061921954
2012-11-06,18815408.499466952
2012-11-07,19002075.150491625
2012-11-08,19186209.919051804
2012-11-09,19365431.34957915
2012-11-10,19537610.55499461
2012-11-11,19700940.452108964
2012-11-12,19853996.111363884
2012-11-13,19995784.248252675
2012-11-14,20125780.164189424
2012-11-15,20243950.77801663
2012-11-16,20350762.767069817
2012-11-17,20447175.24864792
2012-11-18,20534616.867712975
2012-11-19,20614947.602688804
2012-11-20,20690406.04595372
2012-11-21,20763543.346477497
2012-11-22,20837145.406743716
2012-11-23,20914145.29293799
2012-11-24,20997528.135559287
2012-11-25,21090231.057589088
2012-11-26,21195040.861052427
2012-11-27,21314492.32396052
2012-11-28,21450770.00386334
2012-11-29,21605616.409258243
2012-11-30,21780249.28584018
2012-12-01,21975290.573056567
2012-12-02,22190709.32190951
2012-12-03,22425780.533663884
2012-12-04,22679061.489294186
2012-12-05,22948386.70093762
2012-12-06,23230882.140659526
2012-12-07,23522998.900829338
2012-12-08,23820565.927674137
2012-12-09,24118860.95867514
2012-12-10,24412698.299197927
2012-12-11,24696531.607571304
2012-12-12,24964569.43341604
2012-12-13,25210900.88321682
2012-12-14,25429628.480297647
